Q_diff,Q_router,Q_oracle
0,0,0
0,1,1
0,0,0
0,0,0
0,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,1,1
0,0,0
0,0,0
0,0,0
0,1,1
0,1,1
0,1,1
0,1,1
0,0,0
0,0,0
0,1,1
0,1,1
0,0,0
0,0,0
0,1,1
1,1,0
1,2,1
1,1,0
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,1,0
1,1,0
0,0,0
0,0,0
0,1,1
0,1,1
0,1,1
0,1,1
0,0,0
0,1,1
0,1,1
0,1,1
0,0,0
0,0,0
0,0,0
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,0,0
0,1,1
0,1,1
0,0,0
0,1,1
0,0,0
0,1,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,1,0
0,0,0
0,0,0
0,1,1
0,0,0
0,1,1
0,1,1
0,0,0
0,1,1
0,2,2
0,1,1
0,1,1
1,1,0
1,1,0
1,1,0
0,1,1
1,1,0
0,0,0
0,0,0
0,1,1
0,1,1
1,1,0
1,1,0
1,2,1
1,2,1
1,1,0
0,0,0
0,1,1
0,2,2
0,1,1
1,2,1
2,3,1
2,2,0
1,2,1
1,1,0
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,0,0
0,0,0
0,1,1
0,2,2
0,2,2
0,1,1
-1,1,2
-1,1,2
-1,0,1
-1,0,1
-1,1,2
-1,0,1
0,0,0
0,1,1
0,1,1
0,0,0
0,1,1
0,1,1
0,0,0
0,0,0
0,1,1
0,2,2
0,2,2
0,1,1
0,1,1
0,0,0
0,0,0
0,1,1
0,0,0
0,0,0
0,0,0
0,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,1
0,1,1
0,0,0
0,1,1
0,1,1
1,2,1
2,2,0
2,2,0
1,1,0
1,2,1
1,2,1
1,1,0
0,0,0
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,1,1
0,1,1
0,0,0
0,1,1
0,2,2
0,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,1
0,0,0
0,1,1
1,1,0
1,2,1
1,2,1
1,1,0
1,1,0
1,2,1
2,3,1
2,3,1
2,2,0
1,1,0
1,2,1
1,2,1
1,1,0
1,2,1
1,2,1
1,1,0
1,2,1
1,1,0
1,2,1
1,2,1
1,1,0
1,2,1
1,2,1
1,3,2
1,3,2
2,4,2
3,4,1
3,4,1
3,4,1
3,4,1
3,3,0
2,2,0
1,2,1
1,1,0
1,1,0
1,1,0
1,1,0
1,2,1
1,1,0
1,2,1
1,2,1
1,1,0
1,1,0
1,1,0
0,1,1
0,1,1
0,0,0
0,1,1
0,1,1
0,0,0
0,1,1
0,0,0
0,1,1
0,0,0
0,0,0
0,0,0
0,1,1
1,2,1
1,2,1
1,2,1
1,2,1
2,2,0
1,2,1
1,2,1
1,1,0
1,1,0
0,1,1
1,1,0
1,2,1
2,2,0
2,2,0
2,3,1
3,3,0
3,4,1
3,3,0
3,3,0
3,3,0
3,3,0
3,4,1
3,4,1
3,4,1
4,4,0
4,5,1
4,5,1
5,5,0
5,6,1
5,5,0
4,5,1
4,4,0
4,5,1
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
3,4,1
3,4,1
3,3,0
3,3,0
3,4,1
4,4,0
4,5,1
4,5,1
4,5,1
4,5,1
4,6,2
4,6,2
4,5,1
4,5,1
4,5,1
4,4,0
4,5,1
4,4,0
4,4,0
4,5,1
4,5,1
4,5,1
4,5,1
4,6,2
4,5,1
3,4,1
3,4,1
3,4,1
3,4,1
4,4,0
4,5,1
4,5,1
4,4,0
4,4,0
3,3,0
2,3,1
3,3,0
3,4,1
4,5,1
5,5,0
5,5,0
5,5,0
5,6,1
5,6,1
5,5,0
5,5,0
5,6,1
5,5,0
5,6,1
5,6,1
5,6,1
5,6,1
5,6,1
6,6,0
5,5,0
4,4,0
3,4,1
3,5,2
3,5,2
